# 2025-07-01 全池(1035 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M|外持% 外20 投20 資20 券20(外資持股比;外資/投信20日淨買佔成交值%;融資/借券餘額20日變化%)
1101 台泥|水泥工業|-9 0 -50|74 74 -19 -19|0.8 480|18 8 -25 7 -23
1102 亞泥|水泥工業|-1 4 1|91 92 -8 6|0.9 326|21 16 -3 -26 10
1104 環泥|水泥工業|-13 -6 -5|81 96 0 2|1.0 14|15 -9 0 -2 -4
1210 大成|食品工業|-4 -0 3|100 100 13 24|1.2 112|13 20 0 -24 -16
1215 卜蜂|食品工業|3 3 5|98 98 30 42|1.8 138|44 25 -10 -34 -47
1216 統一|食品工業|5 7 -1|91 98 -0 -1|1.7 1769|37 -11 4 -1 130
1218 泰山|食品工業|1 -5 4|96 96 5 9|1.0 24|3 1 0 -0 10
1225 福懋油|食品工業|-1 -5 2|18 30 -22 -71|1.1 37|3 -26 0 4 na
1227 佳格|食品工業|-6 -4 -5|78 87 -6 -11|0.6 15|6 -19 0 1 64
1229 聯華|食品工業|-19 -19 -7|62 82 -13 -15|0.8 52|10 -11 -0 22 10
1231 聯華食|食品工業|10 12 -1|81 81 10 9|1.2 28|4 11 -0 -1 3
1232 大統益|食品工業|-10 -2 2|97 97 7 10|0.5 15|3 -5 0 27 6
1301 台塑|塑膠工業|-15 -7 -7|60 87 -7 -4|0.9 466|27 0 2 3 4
1303 南亞|塑膠工業|-3 3 -3|54 80 -12 -11|2.4 558|28 28 -39 21 -19
1307 三芳|塑膠工業|-6 1 -7|71 71 -14 1|0.5 29|16 -19 -1 14 -8
1308 亞聚|塑膠工業|6 2 10|58 76 -16 -18|0.7 7|5 2 0 9 -11
1316 上曜|建材營造|183 194 -8|60 70 -21 -3|0.2 41|3 -6 0 -5 12
1319 東陽|汽車工業|-16 2 -5|74 74 -21 -9|0.5 471|18 -12 -9 103 -38
1321 大洋|塑膠工業|-36 -24 -18|83 95 -2 11|0.7 6|7 -2 0 1 1
1325 恆大|塑膠工業|9 16 30|76 76 17 14|0.2 40|1 -1 0 -12 -7
1326 台化|塑膠工業|-28 -19 -14|45 76 -16 -18|1.0 232|32 -0 -2 -1 5
1342 八貫|其他|3 21 13|75 79 -16 -13|1.0 15|29 1 0 -3 -36
1402 遠東新|紡織纖維|-14 -9 -9|85 94 -2 5|0.7 219|21 -11 -4 -30 15
1409 新纖|紡織纖維|-19 -13 -18|69 79 -12 -18|0.9 25|12 -11 0 -3 -14
1414 東和|紡織纖維|-19 -10 2|72 72 -9 -24|0.5 5|1 -3 0 3 5
1419 新紡|紡織纖維|6 8 -16|76 76 44 38|2.0 79|1 -4 0 27 411
1434 福懋|紡織纖維|-9 1 -2|71 81 -12 -17|1.0 18|7 -1 1 -16 -1
1436 華友聯|建材營造|-91 1152 -928|61 80 -5 -5|0.8 26|5 4 0 -4 13
1440 南紡|紡織纖維|-20 -12 -5|72 90 -2 -7|1.0 15|7 5 0 -10 12
1442 名軒|建材營造|-76 -61 -295|84 84 -10 4|0.5 77|13 24 -14 11 -40
1446 宏和|紡織纖維|-63 -8 -2148|43 55 -20 -38|0.5 5|8 7 0 2 -13
1464 得力|紡織纖維|-2 9 -20|65 65 -29 -23|0.4 9|5 -17 0 -17 -5
1466 聚隆|紡織纖維|-30 -7 -23|80 80 -10 28|0.7 9|2 -4 0 -32 19
1472 三洋實業|建材營造|18 59 31|88 88 -3 52|0.2 7|2 -11 0 1 -49
1476 儒鴻|紡織纖維|-9 10 -8|70 72 -7 -19|0.9 310|35 -26 -1 48 121
