# 2022-12-01 全池(932 檔)。欄位:代碼 名稱|產業|最新月YoY 3月YoY均 加速度|距52週高% 距120日高% 60日漲% 120日漲%|量能比 日均值M
1101 台泥|水泥工業|19 16 10|76 85 -15 -4|1.0 891
1102 亞泥|水泥工業|-20 -11 -16|91 91 -6 1|0.9 200
1104 環泥|水泥工業|14 22 7|100 100 2 8|1.2 6
1210 大成|食品工業|23 19 7|85 91 -7 -2|1.4 31
1215 卜蜂|食品工業|13 16 -2|98 98 -1 11|1.2 22
1216 統一|食品工業|10 12 2|97 97 -1 7|2.3 682
1217 愛之味|食品工業|3 3 -0|83 95 7 1|1.5 12
1218 泰山|食品工業|2 10 -4|96 96 31 55|2.7 106
1219 福壽|食品工業|19 20 1|73 89 -6 -3|1.1 16
1227 佳格|食品工業|-20 -13 0|79 91 -0 -7|0.9 14
1229 聯華|食品工業|-7 2 -14|77 89 -8 -4|0.8 40
1231 聯華食|食品工業|15 14 2|91 91 3 3|1.4 11
1232 大統益|食品工業|11 23 4|95 95 -3 2|1.4 8
1234 黑松|食品工業|7 15 13|95 97 -2 1|2.2 7
1301 台塑|塑膠工業|-31 -23 -27|90 90 1 -8|0.7 540
1303 南亞|塑膠工業|-29 -26 -24|91 100 14 3|1.4 756
1304 台聚|塑膠工業|-25 -18 -18|73 92 -2 -5|2.3 31
1305 華夏|塑膠工業|-48 -39 -31|67 75 -3 -25|2.1 31
1308 亞聚|塑膠工業|-7 7 -10|81 99 10 9|2.0 26
1309 台達化|塑膠工業|-30 -21 -14|71 84 2 -15|5.3 14
1312 國喬|塑膠工業|-31 -27 -14|77 95 13 -4|4.5 55
1313 聯成|塑膠工業|-26 -31 -28|65 83 4 -16|2.6 16
1314 中石化|塑膠工業|-54 -50 -47|76 91 2 -4|2.7 69
1316 上曜|建材營造|98 70 -99|46 62 -24 -33|0.6 11
1319 東陽|汽車工業|14 20 4|89 89 -6 22|2.2 294
1326 台化|塑膠工業|-4 -3 -13|97 98 11 -2|1.2 264
1336 台翰|電子零組|44 40 11|96 96 17 48|1.6 21
1338 廣華-KY|汽車工業|-10 3 -8|78 78 -14 -16|1.1 8
1339 昭輝|汽車工業|1 6 6|95 95 -0 15|1.1 8
1342 八貫|其他|-9 18 -20|100 100 17 32|0.9 77
1402 遠東新|紡織纖維|6 11 -3|98 98 3 11|1.6 334
1409 新纖|紡織纖維|-13 -2 -15|90 98 4 1|2.1 35
1410 南染|紡織纖維|-5 -19 -4|96 96 8 33|0.5 26
1417 嘉裕|紡織纖維|1 52 18|96 96 44 45|10.1 8
1434 福懋|紡織纖維|-4 10 -2|94 97 -1 6|1.0 28
1440 南紡|紡織纖維|22 26 14|69 90 -2 -8|1.4 22
1442 名軒|建材營造|-85 -77 -9|99 99 35 75|1.0 54
1444 力麗|紡織纖維|-4 5 -21|89 89 -5 5|0.6 22
1451 年興|紡織纖維|7 1 -16|79 79 -17 -4|0.8 9
1453 大將|建材營造|50 59725 3968|51 72 -11 -31|3.3 7
1455 集盛|紡織纖維|-42 -33 -30|69 94 6 -6|1.9 8
1467 南緯|紡織纖維|-31 -12 -8|81 87 3 -13|1.6 45
1475 業旺|紡織纖維|45 79 -293|86 97 12 -3|1.1 12
1476 儒鴻|紡織纖維|-11 28 7|74 95 3 -2|0.6 292
1477 聚陽|紡織纖維|7 8 -13|96 100 26 45|0.8 454
1503 士電|電機機械|24 17 8|93 93 -4 6|1.0 12
1504 東元|電機機械|11 9 -3|88 94 -4 -1|1.0 114
1506 正道|電機機械|5 -0 -15|89 100 14 4|1.7 5
1513 中興電|電機機械|-14 2 -2|89 89 -7 27|2.1 736
1514 亞力|電機機械|75 50 18|82 82 -6 13|1.4 57
1515 力山|電機機械|-88 -80 -19|52 87 -2 -7|1.8 15
1517 利奇|電機機械|-26 5 -12|86 93 1 10|0.9 32
1519 華城|電機機械|-2 -2 4|93 93 6 25|0.4 46
1522 堤維西|汽車工業|25 18 1|90 90 2 7|3.4 45
1524 耿鼎|汽車工業|15 15 -10|91 91 1 23|2.3 153
1526 日馳|電機機械|-10 15 -20|81 81 -15 6|0.5 18
1527 鑽全|電機機械|-33 -24 -16|94 94 2 -4|0.6 7
1529 樂事綠能|電機機械|85 7 -104|56 82 5 0|0.4 20
1532 勤美|電機機械|-39 -38 -39|87 95 1 -2|0.8 7
1533 車王電|汽車工業|44 25 5|73 80 -10 -17|1.1 13
1536 和大|汽車工業|6 8 -0|79 79 -11 4|0.6 156
1537 廣隆|電機機械|87 195 142|97 97 -1 6|0.6 12
1539 巨庭|電機機械|-66 -36 -40|70 70 -11 7|1.1 83
1558 伸興|電機機械|102 57 59|85 89 -7 -8|0.9 13
1560 中砂|電機機械|11 15 -2|66 66 -23 -31|0.7 570
1565 精華|生技醫療|-4 -8 -3|79 93 -5 -2|1.7 32
1568 倉佑|汽車工業|-20 -11 -11|81 81 -11 -10|3.2 10
1569 濱川|電腦及週|-33 -22 -39|85 85 -7 -8|0.4 8
1580 新麥|電機機械|-6 -14 -13|85 87 -9 -8|1.6 6
1582 信錦|電子零組|-24 -19 -26|86 86 -12 -5|1.0 8
1584 精剛|其他|10 19 -50|96 96 30 25|7.0 50
1589 永冠-KY|電機機械|29 18 17|77 87 3 -0|0.3 9
1590 亞德客-KY|電機機械|24 3 -1|92 94 26 -1|1.3 632
1591 駿吉-KY|電機機械|229 101 na|81 91 18 -10|0.7 11
1597 直得|電機機械|-12 -15 -11|92 97 6 8|2.0 7
1603 華電|電器電纜|18 57 19|86 94 5 -3|0.8 8
1604 聲寶|電器電纜|-15 -9 -18|86 89 -9 -7|0.5 6
1605 華新|電器電纜|2 2 -27|95 95 22 8|1.7 4434
1608 華榮|電器電纜|-21 -7 -21|69 89 6 -11|1.3 19
1609 大亞|電器電纜|-7 -4 -10|68 80 -3 -14|1.3 45
1611 中電|電器電纜|-13 -9 -0|69 73 -9 -27|1.2 13
1612 宏泰|電器電纜|16 -6 -11|57 80 3 -20|0.6 13
1618 合機|電器電纜|-22 80 70|90 90 12 14|0.4 12
1701 中化|生技醫療|10 10 8|78 91 -6 2|0.7 6
1702 南僑|食品工業|5 2 -2|94 97 -0 -1|0.6 7
1707 葡萄王|生技醫療|6 9 3|91 96 1 4|1.5 24
1708 東鹼|化學工業|61 80 -10|64 85 -4 -10|0.7 155
1709 和益|化學工業|50 19 2|77 92 -2 -1|1.5 14
1710 東聯|化學工業|-30 -21 -8|85 100 5 1|1.7 17
